Manufacturer (Customer),Clean Name (Sanmina Agile/Oracle)
TMK MANUFACTURING INC,TMK MANUFACTURING INC 
Toshiba Semiconductor and Storage,TOSHIBA
TRANSCEND INFORMATION,TRANSCEND INFORMATION
TRANSCEND INFORMATION ,TRANSCEND INFORMATION INC
TREAU,TREAU
TRINITY TECHNOLOGIES,TRINITY TECHNOLOGIES
Tripp Lite,TRIPP-LITE
TTM,TTM TECHNOLOGIES 
"TTM Technologies, Inc.",TTM TECHNOLOGIES 
TTMCF,TTM TECHNOLOGIES 
TTMSA,TTM TECHNOLOGIES 
TXC CO,TXC CORPORATION
TXC CORPORATION,TXC CORPORATION
Tyco Electronics,TE CONNECTIVITY
Uline,U-LINE SHIPPING SUPPLIES
U-LINE SHIPPING SUPPLIES,U-LINE SHIPPING SUPPLIES
U-LINE SHIPPING SUPPLIES INC,U-LINE SHIPPING SUPPLIES
UNITED CHEMI CON,NIPPON CHEMI-CON
UNITED CHEMI-CON,NIPPON CHEMI-CON
USBFireWire,USB FIREWIRE 
"Valmark Industries, Inc.",VALMARK INDUSTRIES
VARICUT,VARICUT
VENKEL,VENKEL CORP
"Viasystems Technologies Corp., L.L.C.",VIASYSTEMS 
VICOR,VICOR
VISHAY,VISHAY
Vishay BC Components,VISHAY BC COMPONENTS
Vishay Beyschlag,VISHAY 
Vishay Dale,VISHAY
VISHAY INTERTECHNOLOGY INC,VISHAY
Vishay Lite-On,LITE-ON
Vishay Siliconix,VISHAY 
Vishay Thin Film,VISHAY 
Vishay/Dale,VISHAY
Volex,VOLEX
VWR International,VWR SCIENTIFIC PRODUCTS
W H BRADY COMPANY,W H BRADY COMPANY
WAGO,WAGO
WAKEFIELD-VETTE,WAKEFIELD THERMAL
WALSIN,WALSIN TECHNOLOGY CORP
Walsin Technology Corp.,Walsin Technology Corp
WARDEN FLUID DYNAMICS,WARDEN FLUID DYNAMICS
WB MACHINING & MECHANICAL,WB MACHINING & MECHANICAL DES
WB Machining & Mechanical Design Inc.,WB MACHINING & MECHANICAL DES
WeEn Semiconductors,WEEN SEMICONDUCTORS
Wenteq Microwave Corporation,WENTEQ MICROWAVE CORP
WESTAK,WESTAK INCORPORATED
"Westcoast Precision, Inc.",WESTCOAST PRECISION
WESTERN DIGITAL,WESTERN DIGITAL
WESTFAB,WESTFAB MANUFACTURING
WESTFAB,WESTFAB
WESTFAB MFG,WESTFAB MANUFACTURING
Winbond Electronics,WINBOND ELECTRONICS
Winchester Interconnect,WINCHESTER 
Wurth,WURTH GROUP
WURTH ELECTRONICS INC,WURTH ELECTRONICS
WURTH ELECTRONICS INC.,WURTH ELECTRONICS
Wurth Electronics Midcom Inc,WURTH ELECTRONICS
Wurth Electronik,WURTH ELECTRONICS
Wurth Elektronik GmbH & Co. KG,WURTH ELECTRONICS
WUS Printed Circuits Kunshan,WUS PRINTED CIRCUITS
XILINX,XILINX
XP Power,XP POWER
XTECH,XTECH
Yageo,YAGEO CORP
YAGEO (PHYCOMP),YAGEO (PHYCOMP)
YAGEO CORP,YAGEO CORP
YAGEO CORPORATION,YAGEO CORP
Zcommunications,Z-COMMUNICATIONS INC
Z-COMMUNICATIONS INC,Z-COMMUNICATIONS INC
Zetex Semiconductors,ZETEX SEMICONDUCTORS
ZIPPY TECHNOLOGY CORP,ZIPPY TECHNOLOGY CORP
Zyxel Communications Inc.,ZYXEL COMMUNICATIONS
"Suzhou Get Plastic Technology Co.,Ltd",Suzhou Get Plastic Technology Co
